MAP features=0
SOLID 1 0
SOLID 1 2
SOLID 1 3
SOLID 1 4
SOLID 1 6
SOLID 1 7
SOLID 1 9
SOLID 1 10
SOLID 1 12
SOLID 1 13
SOLID 1 14
SOLID 1 15
SOLID 1 16
SOLID 1 17
SOLID 1 19
SOLID 1 20
SOLID 1 22
SOLID 1 24
SOLID 1 25
SOLID 1 26
SOLID 1 27
SOLID 1 28
SOLID 1 29
SOLID 1 30
SOLID 2 0
SOLID 2 2
SOLID 2 3
SOLID 2 4
SOLID 2 6
SOLID 2 7
SOLID 2 9
SOLID 2 10
SOLID 2 12
SOLID 2 13
SOLID 2 14
SOLID 2 15
SOLID 2 16
SOLID 2 17
SOLID 2 19
SOLID 2 20
SOLID 3 0
SOLID 3 2
SOLID 3 3
SOLID 3 4
SOLID 3 6
SOLID 3 7
SOLID 3 9
SOLID 3 10
SOLID 3 12
SOLID 3 13
SOLID 3 14
SOLID 3 15
SOLID 3 16
SOLID 3 17
SOLID 3 19
SOLID 3 20
SOLID 3 21
SOLID 3 22
SOLID 3 23
SOLID 3 24
SOLID 3 25
SOLID 3 26
SOLID 3 27
SOLID 3 28
SOLID 3 29
SOLID 3 30
SOLID 4 0
SOLID 4 2
SOLID 4 3
SOLID 4 4
SOLID 4 6
SOLID 4 7
SOLID 4 9
SOLID 4 10
SOLID 4 12
SOLID 4 13
SOLID 4 14
SOLID 4 15
SOLID 4 16
SOLID 4 17
SOLID 4 19
SOLID 5 21
SOLID 5 22
SOLID 5 23
SOLID 5 24
SOLID 5 26
SOLID 5 27
SOLID 5 28
SOLID 5 29
SOLID 5 30
SOLID 6 1
SOLID 6 3
SOLID 6 4
SOLID 6 6
SOLID 6 7
SOLID 6 9
SOLID 6 10
SOLID 6 12
SOLID 6 14
SOLID 6 15
SOLID 6 16
SOLID 6 17
SOLID 6 19
SOLID 6 21
SOLID 6 22
SOLID 6 23
SOLID 6 24
SOLID 6 26
SOLID 6 27
SOLID 6 28
SOLID 7 1
SOLID 7 3
SOLID 7 4
SOLID 7 6
SOLID 7 7
SOLID 7 9
SOLID 7 10
SOLID 7 12
SOLID 7 14
SOLID 7 15
SOLID 7 16
SOLID 7 17
SOLID 7 27
SOLID 7 28
SOLID 7 30
SOLID 8 12
SOLID 8 14
SOLID 8 15
SOLID 8 16
SOLID 8 18
SOLID 8 19
SOLID 8 21
SOLID 8 22
SOLID 8 23
SOLID 8 24
SOLID 8 26
SOLID 9 1
SOLID 9 3
SOLID 9 5
SOLID 9 6
SOLID 9 7
SOLID 9 9
SOLID 9 10
SOLID 9 21
SOLID 9 22
SOLID 9 23
SOLID 9 24
SOLID 9 26
SOLID 9 28
SOLID 9 30
SOLID 10 1
SOLID 10 3
SOLID 10 5
SOLID 10 6
SOLID 10 7
SOLID 10 9
SOLID 10 10
SOLID 10 12
SOLID 10 14
SOLID 10 15
SOLID 10 16
SOLID 10 18
SOLID 10 19
SOLID 10 21
SOLID 10 22
SOLID 10 23
SOLID 10 24
SOLID 10 26
SOLID 10 28
SOLID 10 30
SOLID 11 5
SOLID 11 6
SOLID 11 7
SOLID 11 9
SOLID 11 10
SOLID 12 1
SOLID 12 3
SOLID 12 4
SOLID 12 5
SOLID 12 6
SOLID 12 7
SOLID 12 9
SOLID 12 10
SOLID 12 11
SOLID 12 12
SOLID 12 14
SOLID 12 15
SOLID 12 16
SOLID 12 18
SOLID 12 19
SOLID 12 21
SOLID 12 23
SOLID 12 24
SOLID 12 26
SOLID 12 27
SOLID 12 29
SOLID 12 30
SOLID 13 1
SOLID 13 3
SOLID 13 4
SOLID 13 5
SOLID 13 6
SOLID 13 7
SOLID 13 9
SOLID 13 10
SOLID 13 11
SOLID 13 12
SOLID 13 14
SOLID 13 15
SOLID 14 10
SOLID 14 11
SOLID 14 12
SOLID 14 13
SOLID 14 14
SOLID 14 15
SOLID 14 16
SOLID 14 18
SOLID 14 19
SOLID 14 21
