MAP features=0
SOLID 0 7
SOLID 0 8
SOLID 0 9
SOLID 0 10
SOLID 0 11
SOLID 0 12
SOLID 0 13
SOLID 0 14
SOLID 0 15
SOLID 0 16
SOLID 0 17
SOLID 0 19
SOLID 0 20
SOLID 0 21
SOLID 0 22
SOLID 0 24
SOLID 0 25
SOLID 0 26
SOLID 0 27
SOLID 0 28
SOLID 1 1
SOLID 1 2
SOLID 1 3
SOLID 1 4
SOLID 1 5
SOLID 1 7
SOLID 1 30
SOLID 2 1
SOLID 2 5
SOLID 2 7
SOLID 2 9
SOLID 2 10
SOLID 2 11
SOLID 2 12
SOLID 2 13
SOLID 2 14
SOLID 2 16
SOLID 2 17
SOLID 2 19
SOLID 2 21
SOLID 2 22
SOLID 2 24
SOLID 2 25
SOLID 2 26
SOLID 2 27
SOLID 2 28
SOLID 2 30
SOLID 3 1
SOLID 3 3
SOLID 3 9
SOLID 3 10
SOLID 3 11
SOLID 3 12
SOLID 3 13
SOLID 3 14
SOLID 3 16
SOLID 3 17
SOLID 3 19
SOLID 3 21
SOLID 3 22
SOLID 4 5
SOLID 4 7
SOLID 4 8
SOLID 4 9
SOLID 4 10
SOLID 4 11
SOLID 4 12
SOLID 4 13
SOLID 4 14
SOLID 4 16
SOLID 4 17
SOLID 4 19
SOLID 4 24
SOLID 4 25
SOLID 4 26
SOLID 4 27
SOLID 4 28
SOLID 4 30
SOLID 5 1
SOLID 5 3
SOLID 5 5
SOLID 5 7
SOLID 5 8
SOLID 5 9
SOLID 5 10
SOLID 5 11
SOLID 5 12
SOLID 5 13
SOLID 5 14
SOLID 5 16
SOLID 5 17
SOLID 5 19
SOLID 5 20
SOLID 5 21
SOLID 5 22
SOLID 5 24
SOLID 5 25
SOLID 5 26
SOLID 5 27
SOLID 5 28
SOLID 6 3
SOLID 6 5
SOLID 6 16
SOLID 6 17
SOLID 6 21
SOLID 6 22
SOLID 6 24
SOLID 6 25
SOLID 6 26
SOLID 6 27
SOLID 6 28
SOLID 6 30
SOLID 7 1
SOLID 7 2
SOLID 7 3
SOLID 7 5
SOLID 7 7
SOLID 7 9
SOLID 7 10
SOLID 7 11
SOLID 7 12
SOLID 7 13
SOLID 7 14
SOLID 7 16
SOLID 7 17
SOLID 7 19
SOLID 7 21
SOLID 7 22
SOLID 7 24
SOLID 7 25
SOLID 7 26
SOLID 7 27
SOLID 7 28
SOLID 7 30
SOLID 8 1
SOLID 8 2
SOLID 8 3
SOLID 8 5
SOLID 8 7
SOLID 8 9
SOLID 8 10
SOLID 8 11
SOLID 8 12
SOLID 8 13
SOLID 8 14
SOLID 8 16
SOLID 8 17
SOLID 8 19
SOLID 8 21
SOLID 8 22
SOLID 8 24
SOLID 8 25
SOLID 8 26
SOLID 8 27
SOLID 8 28
SOLID 9 1
SOLID 9 2
SOLID 9 3
SOLID 9 5
SOLID 9 7
SOLID 9 9
SOLID 9 10
SOLID 9 12
SOLID 9 13
SOLID 9 14
SOLID 9 30
SOLID 10 1
SOLID 10 2
SOLID 10 3
SOLID 10 5
SOLID 10 7
SOLID 10 9
SOLID 10 10
SOLID 10 12
SOLID 10 13
SOLID 10 14
SOLID 10 15
SOLID 10 16
SOLID 10 17
SOLID 10 19
SOLID 10 21
SOLID 10 22
SOLID 10 24
SOLID 10 25
SOLID 10 26
SOLID 10 27
SOLID 10 29
SOLID 10 30
SOLID 11 1
SOLID 11 2
SOLID 11 3
SOLID 11 5
SOLID 11 7
SOLID 11 9
SOLID 11 10
SOLID 11 12
SOLID 11 13
SOLID 11 14
SOLID 11 19
SOLID 11 21
SOLID 11 22
SOLID 12 14
SOLID 12 16
SOLID 12 17
SOLID 12 18
SOLID 12 19
SOLID 12 21
SOLID 12 22
SOLID 12 24
SOLID 12 25
SOLID 12 26
SOLID 12 27
SOLID 12 29
SOLID 12 30
SOLID 13 1
SOLID 13 2
SOLID 13 3
SOLID 13 5
SOLID 13 6
SOLID 13 7
SOLID 13 8
SOLID 13 10
SOLID 13 12
SOLID 13 13
SOLID 13 14
SOLID 13 30
SOLID 14 1
SOLID 14 2
SOLID 14 3
SOLID 14 5
SOLID 14 6
SOLID 14 8
SOLID 14 10
SOLID 14 12
SOLID 14 13
SOLID 14 14
SOLID 14 16
SOLID 14 18
SOLID 14 19
SOLID 14 20
SOLID 14 22
SOLID 14 24
SOLID 14 25
SOLID 14 26
SOLID 14 27
SOLID 14 29
SOLID 14 30
SOLID 15 5
SOLID 15 6
SOLID 15 8
SOLID 15 10
SOLID 15 12
SOLID 15 13
SOLID 15 14
SOLID 15 16
SOLID 15 22
SOLID 15 24
SOLID 15 25
SOLID 15 27
SOLID 15 29
SOLID 15 30
SOLID 16 0
SOLID 16 2
SOLID 16 3
SOLID 16 5
SOLID 16 6
SOLID 16 8
SOLID 16 10
SOLID 16 12
SOLID 16 13
SOLID 16 14
SOLID 16 16
