MAP features=1
SOLID 0 8
SOLID 0 9
SOLID 0 10
SOLID 0 11
SOLID 0 12
SOLID 0 13
SOLID 0 14
SOLID 0 15
SOLID 0 16
SOLID 0 17
SOLID 0 18
SOLID 0 19
SOLID 0 20
SOLID 0 22
SOLID 0 23
SOLID 0 24
SOLID 1 1
SOLID 1 2
SOLID 1 3
SOLID 1 5
SOLID 1 6
SOLID 1 8
SOLID 1 9
SOLID 1 10
SOLID 1 11
SOLID 1 12
SOLID 1 13
SOLID 1 14
SOLID 1 16
SOLID 1 17
SOLID 1 18
SOLID 1 20
SOLID 1 26
SOLID 1 27
SOLID 1 29
SOLID 1 30
SOLID 2 1
SOLID 2 2
SOLID 2 3
SOLID 2 5
SOLID 2 6
SOLID 2 8
SOLID 2 9
SOLID 2 10
SOLID 2 11
SOLID 2 12
SOLID 2 13
SOLID 2 14
SOLID 2 20
SOLID 2 22
SOLID 2 23
SOLID 2 24
SOLID 3 8
SOLID 3 9
SOLID 3 10
SOLID 3 11
SOLID 3 12
SOLID 3 13
SOLID 3 14
SOLID 3 16
SOLID 3 17
SOLID 3 18
SOLID 3 26
SOLID 3 27
SOLID 3 29
SOLID 3 30
SOLID 4 1
SOLID 4 2
SOLID 4 3
SOLID 4 5
SOLID 4 6
SOLID 4 8
SOLID 4 9
SOLID 4 10
SOLID 4 11
SOLID 4 12
SOLID 4 13
SOLID 4 14
SOLID 4 16
SOLID 4 17
SOLID 4 18
SOLID 4 20
SOLID 4 22
SOLID 4 23
SOLID 4 24
SOLID 4 26
SOLID 4 27
SOLID 4 29
SOLID 4 30
SOLID 5 1
SOLID 5 2
SOLID 5 3
SOLID 5 5
SOLID 5 6
SOLID 5 8
SOLID 5 9
SOLID 5 10
SOLID 5 11
SOLID 5 12
SOLID 5 13
SOLID 5 14
SOLID 5 29
SOLID 5 30
SOLID 6 1
SOLID 6 2
SOLID 6 3
SOLID 6 5
SOLID 6 6
SOLID 6 8
SOLID 6 9
SOLID 6 10
SOLID 6 11
SOLID 6 12
SOLID 6 13
SOLID 6 14
SOLID 6 16
SOLID 6 17
SOLID 6 18
SOLID 6 20
SOLID 6 22
SOLID 6 23
SOLID 6 24
SOLID 6 26
SOLID 6 27
SOLID 6 29
SOLID 6 30
SOLID 7 8
SOLID 7 9
SOLID 7 10
SOLID 7 11
SOLID 7 12
SOLID 7 13
SOLID 7 14
SOLID 7 29
SOLID 7 30
SOLID 8 1
SOLID 8 2
SOLID 8 3
SOLID 8 5
SOLID 8 6
SOLID 8 8
SOLID 8 9
SOLID 8 10
SOLID 8 11
SOLID 8 12
SOLID 8 13
SOLID 8 14
SOLID 8 16
SOLID 8 17
SOLID 8 18
SOLID 8 20
SOLID 8 21
SOLID 8 23
SOLID 8 24
SOLID 8 26
SOLID 8 27
SOLID 9 16
SOLID 9 17
SOLID 9 18
SOLID 9 20
SOLID 9 21
SOLID 9 23
SOLID 9 24
SOLID 9 26
SOLID 9 27
SOLID 9 28
SOLID 9 29
SOLID 9 30
SOLID 9 31
SOLID 10 1
SOLID 10 2
SOLID 10 3
SOLID 10 5
SOLID 10 7
SOLID 10 8
SOLID 10 9
SOLID 10 11
SOLID 10 12
SOLID 10 13
SOLID 10 14
SOLID 10 16
SOLID 10 17
SOLID 10 18
SOLID 10 20
SOLID 10 21
SOLID 10 23
SOLID 10 24
SOLID 10 26
SOLID 10 27
SOLID 10 28
SOLID 10 29
SOLID 10 31
SOLID 11 5
SOLID 11 6
SOLID 11 11
SOLID 11 12
SOLID 11 13
SOLID 11 14
SOLID 11 16
SOLID 11 17
SOLID 11 18
SOLID 11 20
SOLID 11 21
SOLID 11 23
SOLID 11 24
SOLID 11 26
SOLID 11 27
SOLID 11 28
SOLID 11 29
SOLID 11 31
SOLID 12 1
SOLID 12 2
SOLID 12 3
SOLID 12 8
SOLID 12 9
SOLID 12 11
SOLID 12 12
SOLID 12 14
SOLID 12 16
SOLID 12 17
SOLID 12 18
SOLID 12 20
SOLID 12 21
SOLID 12 23
SOLID 12 24
SOLID 12 26
SOLID 12 27
SOLID 12 28
SOLID 12 29
SOLID 12 31
SOLID 13 5
SOLID 13 6
SOLID 13 8
SOLID 13 9
SOLID 13 11
SOLID 13 12
SOLID 13 14
SOLID 13 16
SOLID 13 17
SOLID 13 18
SOLID 13 20
SOLID 13 21
SOLID 13 23
SOLID 13 24
SOLID 13 26
SOLID 13 27
SOLID 14 1
SOLID 14 3
SOLID 14 5
SOLID 14 6
SOLID 14 8
SOLID 14 9
SOLID 14 11
SOLID 14 12
SOLID 14 14
SOLID 14 16
SOLID 14 17
SOLID 14 18
SOLID 14 20
SOLID 14 21
SOLID 14 23
SOLID 14 24
SOLID 14 29
SOLID 14 31
SOLID 15 16
SOLID 15 17
SOLID 15 18
SOLID 15 20
SOLID 15 21
SOLID 15 23
SOLID 15 24
SOLID 15 26
SOLID 15 27
SOLID 15 31
SOLID 16 1
SOLID 16 2
SOLID 16 3
SOLID 16 5
SOLID 16 7
SOLID 16 9
SOLID 16 11
SOLID 16 12
SOLID 16 14
SOLID 16 16
SOLID 16 17
SOLID 16 18
SOLID 16 20
SOLID 16 21
SOLID 16 23
SOLID 16 24
SOLID 16 26
SOLID 16 27
SOLID 16 29
SOLID 16 31
SOLID 17 18
SOLID 17 20
SOLID 17 21
SOLID 17 23
SOLID 17 24
SOLID 17 26
SOLID 17 27
SOLID 17 29
SOLID 17 31
SOLID 18 1
SOLID 18 2
SOLID 18 3
SOLID 18 5
SOLID 18 7
SOLID 18 9
SOLID 18 11
SOLID 18 13
SOLID 18 14
SOLID 18 16
SOLID 19 1
SOLID 19 2
SOLID 19 3
SOLID 19 5
SOLID 19 7
SOLID 19 11
SOLID 19 13
SOLID 19 14
SOLID 19 16
SOLID 19 18
SOLID 19 20
SOLID 19 21
SOLID 19 22
SOLID 19 23
SOLID 19 24
SOLID 19 26
SOLID 19 27
SOLID 19 29
SOLID 19 31
SOLID 20 1
SOLID 20 2
SOLID 20 3
SOLID 20 5
SOLID 20 9
SOLID 20 10
SOLID 20 11
SOLID 20 13
SOLID 20 14
SOLID 20 16
SOLID 20 18
SOLID 20 20
SOLID 20 21
SOLID 20 22
SOLID 20 23
SOLID 20 24
SOLID 20 26
SOLID 20 27
SOLID 20 29
SOLID 20 31
SOLID 21 7
SOLID 21 13
SOLID 21 14
SOLID 21 20
SOLID 21 21
SOLID 21 22
SOLID 21 23
SOLID 21 24
SOLID 21 26
SOLID 21 27
SOLID 21 29
SOLID 21 31
SOLID 22 1
SOLID 22 2
SOLID 22 3
SOLID 22 5
SOLID 22 7
SOLID 22 9
SOLID 22 10
SOLID 22 11
SOLID 22 12
SOLID 22 13
SOLID 22 14
SOLID 22 16
SOLID 22 18
SOLID 22 19
SOLID 22 20
SOLID 22 21
SOLID 22 29
SOLID 22 31
SOLID 23 1
SOLID 23 2
SOLID 23 3
SOLID 23 5
SOLID 23 7
SOLID 23 9
SOLID 23 10
SOLID 23 11
SOLID 23 12
SOLID 23 13
SOLID 23 14
SOLID 23 20
SOLID 23 21
SOLID 23 23
SOLID 23 24
SOLID 23 26
SOLID 23 27
SOLID 23 29
SOLID 23 31
SOLID 24 1
SOLID 24 2
SOLID 24 3
SOLID 24 5
SOLID 24 7
SOLID 24 9
SOLID 24 10
SOLID 24 11
SOLID 24 12
SOLID 24 13
SOLID 24 14
SOLID 24 15
SOLID 24 16
SOLID 24 18
SOLID 24 20
SOLID 24 21
SOLID 24 23
SOLID 24 24
SOLID 25 1
SOLID 25 2
SOLID 25 3
SOLID 25 5
SOLID 25 7
SOLID 25 9
SOLID 25 10
SOLID 25 11
SOLID 25 12
SOLID 25 13
SOLID 25 14
SOLID 25 15
SOLID 25 16
SOLID 25 18
SOLID 25 20
SOLID 25 21
SOLID 25 23
SOLID 25 24
SOLID 25 26
SOLID 25 27
SOLID 25 29
SOLID 25 30
SOLID 25 31
SOLID 26 1
SOLID 26 2
SOLID 26 3
SOLID 26 5
SOLID 26 15
SOLID 26 16
SOLID 26 18
SOLID 26 31
SOLID 27 1
SOLID 27 2
SOLID 27 3
SOLID 27 5
SOLID 27 7
SOLID 27 8
SOLID 27 9
SOLID 27 10
SOLID 27 11
SOLID 27 13
SOLID 27 18
SOLID 27 20
SOLID 27 21
SOLID 27 23
SOLID 27 25
SOLID 27 27
SOLID 27 28
SOLID 27 29
SOLID 27 30
SOLID 27 31
SOLID 28 1
SOLID 28 2
SOLID 28 3
SOLID 28 10
SOLID 28 11
SOLID 28 13
SOLID 28 15
SOLID 28 16
SOLID 28 25
SOLID 28 27
SOLID 28 28
SOLID 28 29
SOLID 28 30
SOLID 28 31
SOLID 29 1
SOLID 29 2
SOLID 29 3
SOLID 29 4
SOLID 29 5
SOLID 29 7
SOLID 29 8
SOLID 29 10
SOLID 29 11
SOLID 29 13
SOLID 29 15
SOLID 29 16
SOLID 29 17
SOLID 29 18
SOLID 29 20
SOLID 29 21
SOLID 29 23
SOLID 30 10
SOLID 30 11
SOLID 30 13
SOLID 30 15
SOLID 30 16
SOLID 30 23
SOLID 30 25
SOLID 30 27
SOLID 30 28
SOLID 30 29
SOLID 30 30
SOLID 30 31
SOLID 31 0
SOLID 31 1
SOLID 31 2
SOLID 31 3
SOLID 31 4
SOLID 31 5
SOLID 31 7
SOLID 31 8
SOLID 31 18
SOLID 31 20
SOLID 31 21
CREATURE 3 3
CREATURE 5 16
CREATURE 5 22
CREATURE 6 19
CREATURE 8 25
CREATURE 9 8
CREATURE 10 30
CREATURE 11 2
CREATURE 11 22
CREATURE 13 13
CREATURE 14 2
CREATURE 14 15
CREATURE 15 10
CREATURE 15 15
CREATURE 16 25
CREATURE 17 1
CREATURE 18 12
CREATURE 21 16
CREATURE 22 6
CREATURE 22 22
CREATURE 23 22
CREATURE 27 22
CREATURE 28 5
CREATURE 29 22
PLAYER 16 11
VFEATURE 0 31
VFEATURE 5 0
VFEATURE 22 28
VFEATURE 31 16
